,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
"Mason, Ohio",imaginemason.org,,,,,,,,,,,,,,,
Aquaveo,aquaveo.com,Private,,2007,,,"Provo, Utah",Utah,Provo,,"['Hydrogeology', 'software']",,,,"['Alan Zundel', 'Royd Nelson', 'Norm Jones', 'Jim Nelson']",
West Liberty Foods,wlfoods.com,Private company,,1996,,,"West Liberty, Iowa",Iowa,West Liberty,,['Meat Processing'],"['Other meat products', 'Sliced Meats']",,,"['Ed Garrett,   and']","Large (1,000-4,999 Employees)"
Great Plains Energy,evergyinc.com,Public,,1882,GXP,True,"Kansas City, Missouri, United States",Kansas,Kansas City,XXLarge ($1B+),['Electric utility'],,"['Great Plains Energy Services Incorporated', '(KLT Inc.)', 'Kansas City Power & Light', 'Innovative Energy Consultants Inc. (IEC)']",,"['Edwin Ruthven Weeks, Joseph S. Chick, L.R. Moore, William Holmes', 'Terry Bassham (  and / )']","Large (1,000-4,999 Employees)"
USAA,usaa.com,Private Reciprocal inter-insurance exchange,,1922,,,"San Antonio, Texas, United States",Texas,San Antonio,XXLarge ($1B+),"['Insurance', 'Banking', 'Financial services']","['Insurance', 'Banking', 'Financial planning', 'Retirement']",,,"['Wayne Peacock (', 'chairman', 'James M. Zortman, USN (Ret.)', 'Admiral']","XXLarge (10,000+ Employees)"
Kinetic theTechnologyAgency,,Private,,1968,,,"Louisville, Kentucky, US",Kentucky,Louisville,,['Software'],,,,['Ray Schuhmann'],
Branson Ultrasonics,emerson.com,Subsidiary of Emerson Electric,,1946,,,"Park Ridge Road, Brookfield, Connecticut, United States",Connecticut,Park Ridge,,,"['Ultrasonic/sonic driller/corer', 'Ultrasonic machining', 'Ultrasonic cleaning', 'Ultrasonic welding']",,,"['Emerson Electric', 'Vernon Murray ( )', 'Norman G. Branson']",
Hanna Andersson,hannaandersson.com,Private,,1983,,,"Portland, Oregon, USA",Oregon,Portland,,['Retail'],"[""Children's clothing""]",,,"['L Catterton', 'Aimée Lapic (', 'Gun Denhart, Tom Denhart']",Medium (200-499 Employees)
Honey Dew Donuts,honeydewdonuts.com,Private,,1973,,,"Plainville, Massachusetts, United States",Massachusetts,Plainville,XLarge ($200MM-$1B),"['Bakery', 'Fast food', 'Coffeehouse']","['Baked goods, hot beverages, iced beverages, frozen beverages, sandwiches']",,['Honey Dew Donuts'],"['Richard J. ""Dick"" Bowen']","Large (1,000-4,999 Employees)"
Dixon Hughes Goodman,,Limited Liability Partnership,,1932,,True,"Charlotte, North Carolina, United States",North Carolina,Charlotte,XLarge ($200MM-$1B),['Professional services'],['Accounting'],,"['Forvis, LLP']","['Matt Snow', 'John Roberts (managing partner, services)', 'Michael Crawford', 'Tim York (managing partner, industries)', 'chief operating officer']","Large (1,000-4,999 Employees)"
Avocent,vertiv.com,Wholly Owned Subsidiary,,2000,,True,"Westerville, Ohio, US",Ohio,Westerville,,,"['KVM switches', ' serial consoles, IT infrastructure products']",,,"['Vertiv', 'Giordano Albertazzi (']",
Spira (footwear company),spira.com,Private,,2002,,True,"El Paso, Texas, United States",Texas,El Paso,,['Apparel'],['Athletic footwear'],,,['Andy Krafsur'],
Gizmo5,gizmovoice.com,Peer-to-peer internet telephony,,,,,,,,,,,,,,
Nelnet,nelnet.com,Public company,,1996,NNI,,"Lincoln, Nebraska, US",Nebraska,Lincoln,XXLarge ($1B+),['Financial services'],"['Education finance', 'Student loans']",,,"['Michael S. Dunlap', 'Jeff Noordhoek']",
