,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
EMC Corporation,dell.com,Subsidiary,['Dell Technologies'],1979,EMC,,"Round Rock, Texas, United States",Texas,Round Rock,XXLarge ($1B+),['Computer storage'],['See EMC products'],,,"['(', 'Roger Marino', 'Richard Egan', 'Jeff Clarke', 'Infrastructure Solutions Group', ' Dell EMC)']",
"IArchives, Inc.",iarchives.com,Private subsidiary of Ancestry.com,['Ancestry.com LLC'],1994,,True,"Lindon, Utah, United States",Utah,Lindon,,['Historical documents'],,,"['Automated Solutions, Inc.']","['Scott Christensen', 'David G. Norton', '(chief', 'vice president', 'Mark A. Kendell', 'general manager', 'Brian Hansen', 'Robert Wille', 'engineer']",
Vertica,vertica.com,,['OpenText'],2005,,,"Cambridge, MA, United States",Massachusetts,Cambridge,,"['Data warehousing', 'Database management']","['Vertica Analytics Database, Vertica SQL on Data Lake']",,,"['Mark Barrenechea', '( and', 'Andrew Palmer and Michael Stonebraker']",
The Hartford,thehartford.com,Public,,1810,HIG,,"Hartford, Connecticut, US",Connecticut,Hartford,XXLarge ($1B+),"['Insurance', 'Mutual funds']","['Group benefits', 'General liability insurance', 'Automobile insurance', 'Mutual funds', ""Workers' compensation"", 'Property insurance', 'Exchange-traded funds']",,,"['(Senior   & Controller)', 'Christopher J. Swift', 'Doug Elliot', '(  &', 'Beth A. Costello', 'Scott R. Lewis', '(    & )']","XXLarge (10,000+ Employees)"
Norwest Corporation,,Public,,1929,NOB,True,"Minneapolis, Minnesota, United States",Minnesota,Minneapolis,,['Financial services'],,,"['Norwest Bank', 'Northwest Bancorporation', 'Wells Fargo']",['Richard M. Kovacevich'],
Continental Resources,clr.com,Private company,,,CLR,,"Oklahoma City, Oklahoma, US",Oklahoma,Oklahoma City,XXLarge ($1B+),['Petroleum'],"['Natural Gas', 'Petroleum']",,['Shelly Dean Oil Co.'],"['Harold Hamm', 'Family LLC', 'John D. Hart', 'William B. Berry', 'Jack Stark']","Large (1,000-4,999 Employees)"
Black %26 Veatch,,Employee-Owned,,,,,"Overland Park, Kansas",Kansas,Overland Park,XXLarge ($1B+),"[' and consulting', 'Engineering, procurement, and construction']","['Asset management, consulting, data analytics, EPC and design build, operations, physical and cybersecurity, program and construction management, sustainability']",,,"['Timothy W. Triplett, Board Secretary, General Counsel', 'Patrick Hogan, Chief Client Officer', 'Mario Azar,   and', 'Michael Williams, Chief Financial Officer', 'Dave Hollowell,  , Connectivity & Commercial', 'Joy Johnson,  Chief Human Resources Officer', 'Irvin Bishop Jr., Chief Information Officer', 'Laszlo von Lazar,  , Energy & Process Industries', 'Mike Orth,  , Governments & Environment', 'Barry Clegg,  , Black & Veatch Operations', 'Andrea Bernica, Senior     and Chief of Staff', 'Hoe wai Cheong,  , Asia-Pacific & India']","XXLarge (10,000+ Employees)"
Savage Arms,savagearms.com,Subsidiaries,,1894,,,"Westfield, Massachusetts",Massachusetts,Westfield,,['Firearms'],"['Rifles, shotguns', 'Stevens Arms']",,,['Albert F. Kasper'],
AirNet Express,airnet.com,,,1974,,,"Rickenbacker International Airport, Franklin County, Ohio",Ohio,Franklin,,,,,,['John Dupuy'],
TGI Fridays,tgifridays.com,Private,,1965,,,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),"['Restaurants', 'Casual dining']","['salads', 'pasta', 'seafood', 'burgers', 'sandwiches', 'chicken', 'Steaks']",,['TGI Fridays'],"['TriArtisan Capital Advisors', 'Daniel R. Scoggin', 'Ray Blanchette', 'Alan Stillman and']","XXLarge (10,000+ Employees)"
Cohen%27s Fashion Optical,cohensfashionoptical.com,,,1924,,,"New York City, New York, United States",New York,New York,,['Retail'],"['eyeglasses', 'lenses', 'sunglasses', 'Contact lenses', ' frames']",,,['Jack Cohen'],
Calpine,calpine.com,Private,,1984,,,"Calpine Center, Houston, Texas, US",Texas,Calpine,XXLarge ($1B+),['Energy'],,,,"['Peter Cartwright', 'Thad Miller', 'Thad Hill']","Large (1,000-4,999 Employees)"
Avista,myavista.com,Public,,1889,AVA,,"E Mission Ave, Spokane, Washington, US",Washington,Mission,XXLarge ($1B+),"['Energy', 'private utility']","['Electricity', 'natural gas']",['Alaska Electric Light & Power'],['Washington Water Power'],"[']', 'and', 'when?', '[', 'Scott Morris']","Large (1,000-4,999 Employees)"
Freeport-McMoRan,fcx.com,Public,,1912,FCX,,"FreeportMcMoRan Center, Phoenix, Arizona, US",Arizona,Center,XXLarge ($1B+),"['Metals', 'Mining']","['Molybdenum', 'Copper', 'Gold']","['PT Freeport Indonesia', 'Atlantic Copper, S.A.', 'PT Irja Eastern Minerals']",,"['Kathleen L. Quirk', 'Richard Adkerson', 'Eric Pierson Swenson, et al']","XXLarge (10,000+ Employees)"
Jefferson Lines,jeffersonlines.com,,,1919,,,"Minneapolis, Minnesota",Minnesota,Minneapolis,,,,,,,
Valley National Bank,valley.com,Public company,,1927,VLY,,"Valley Road, Wayne, New Jersey, US",New Jersey,Valley,XXLarge ($1B+),['Financial services'],,,,"['Thomas Iadanza', 'Michael Hagedorn', 'Senior', 'Ira Robbins']","Large (1,000-4,999 Employees)"
Shea Homes,sheahomes.com,Corporation,['J.F. Shea Co'],1881,,,"Walnut, California, United States",California,Walnut,,['Homebuilding'],,,,"['Bert Selva (', 'John F. Shea (founder)', 'John F. Shea']",
Western Connecticut Health Network,westernconnecticuthealthnetwork.org,,,2010,,,"Danbury, Connecticut, United States",Connecticut,Danbury,,['Health care'],['Hospital network'],,,"['of Danbury, New Milford and Norwalk Hospitlal', 'Merger', 'John M. Murphy, MD, president and chief executive officer, Michael Daglio, chief strategy officer', 'Nuvance Health']","XXLarge (10,000+ Employees)"
Pilot Flying J,pilotflyingj.com,Privately held limited liability company,,1981,,,"Knoxville, Tennessee, US",Tennessee,Knoxville,XXLarge ($1B+),"['truck stop', 'convenience store', 'restaurant', 'petroleum']",,"['Flying J Travel Plaza', 'Pilot Travel Centers']",['Pilot Flying J'],"['Jimmy Haslam', '', 'Jim Haslam']","XXLarge (10,000+ Employees)"
Rocky Mountain Construction,rockymtnconstruction.com,Private,,2001,,,"Hayden, Idaho, United States",Idaho,Hayden,,['Manufacturing and construction'],"['water parks', 'Roller coasters', ' specialty construction']",,,"['Fred Grubb and Suanne Dedmon', 'Jake Kilcup ()', 'Darren Torr ( /']",
DKNY,dkny.com,Subsidiary,"['LVMH', 'G-III Apparel Group']",1984,,,"New York City, New York, United States, N, W, N W",New York,New York,,['Fashion'],"['Fashion, leather goods and watches']",,,"['Stephan Weiss', 'Donna Karan']",
DRS Technologies,leonardodrs.com,Subsidiary of Leonardo S.p.A.,['Leonardo S.p.A.'],1968,DRS,,"Arlington, Virginia, United States",Virginia,Arlington,,['Defense'],,,"['DRS Technologies, Inc.']","['(  &', 'William J. Lynn', 'Leonard Newman and David Gross']",
Hartford Whalers,,,,1972,,,,,,,,,,,,
Ducommun,ducommun.com,,,1849,DCO,,"Santa Ana, California, USA",California,Santa Ana,,['Aerospace & Defense'],"['Electronic Systems, Structural Systems, Engineered Products, Aftermarket Services', 'Engineering, Design, Manufacturing']",,,[': Stephen G. Oswald'],"Large (1,000-4,999 Employees)"
New Penn,myyellow.com,Public,,1929,YELL,,"Overland Park, Kansas, USA",Kansas,Overland Park,XXLarge ($1B+),['Transportation'],,"['YRC Freight', 'Reddaway', 'New Penn', 'Holland', 'HNRY Logistics']","['YRC Worldwide, Inc.', 'Yellow Roadway Corporation']","['Darren Hawkins', 'G.C. ""Cleve"" Harrell', 'A.J. Harrell', 'U.S. Treasury']","XXLarge (10,000+ Employees)"
Oxford Development Company,oxforddevelopment.com,Private,,1963,,,"Pittsburgh, Pennsylvania, United States",Pennsylvania,Pittsburgh,,['Real estate'],,,,"['Steven J. Guy,  ', 'Edward J. Lewis']",
704Games,nascarheat.com,Incorporation,['Motorsport Network'],2015,,,"Charlotte, North Carolina, United States",North Carolina,Charlotte,,['Video games'],,,['Dusenberry Martin Racing'],"['Ed Martin', 'Paul Brooks', '(Co-founder)', 'Colin Smith', 'Tom Dusenberry', 'Co-founder)']",
Cox Enterprises,coxenterprises.com,Private,,1898,,,"Atlanta, Georgia, US",Georgia,Atlanta,XXLarge ($1B+),"['Automotive Services', 'Media', 'Communications']","['Automotive', 'Telecommunications', 'Mass media']","['Cox Automotive', 'Cox First Media', 'Cox Media', 'Cox Communications']",,"['James C. Kennedy', 'James M. Cox', '', 'Alexander C. Taylor,  ,  , &', 'Cox family']","XXLarge (10,000+ Employees)"
Lamb Weston,lambweston.com,Public,,1950,LW,,"Eagle, Idaho",Idaho,Eagle,XXLarge ($1B+),['Food processing'],['Packaged foods'],,,,"XLarge (5000-10,000 Employees)"
Eaton Vance,eatonvance.com,Subsidiary,['Morgan Stanley'],,EV,,"Two International Place, Boston, Massachusetts",Massachusetts,Boston,XXLarge ($1B+),['Investment management'],"['tax-managed funds', 'closed-end funds', 'wealth management', 'variable trust funds', 'Mutual funds', 'managed accounts']",,,"['Laurie G. Hylton,  &    .', 'Thomas E. Faust Jr.,  &  .', 'Daniel C. Cataldo, CAO &    .']","Large (1,000-4,999 Employees)"
Intermountain Healthcare,intermountainhealthcare.org,Private Not-for-profit,,1970,,,"Salt Lake City, Utah, United States",Utah,Salt Lake City,,['Healthcare'],,,"['The Health Services Corporation of', 'the Church of Jesus Christ of Latter-day Saints']","['of', 'Presiding Bishopric', 'A. Marc Harrison, MD', 'the Church of Jesus Christ of Latter-day Saints']","XXLarge (10,000+ Employees)"
Drummond Company,drummondco.com,Private,,1935,,,"Birmingham, Alabama, USA",Alabama,Birmingham,XXLarge ($1B+),['Coal Mining'],"['Real Estate', 'By-Products', 'Coal', ' and']",,,"['Chief   Officer', 'Richard Lynn Mullen', 'Heman Edward Drummond']","XLarge (5000-10,000 Employees)"
Red Storm Entertainment,redstorm.com,Subsidiary,['Ubisoft'],1996,,,"Cary, North Carolina, US",North Carolina,Cary,,['Video games'],,,,"['Elizabeth Loverso', 'Doug Littlejohns', 'Tom Clancy', 'managing director']",Medium-Small (50-199 Employees)
Sephora,sephora.com,Subsidiary,['LVMH'],1969,,,"Rue Ybry, NeuillysurSeine, France, N, E, N E",,,XXLarge ($1B+),['Cosmetics'],"['haircare products', 'Cosmetics', 'beauty products', 'fragrances', 'skincare']",,,"['Dominique Mandonnaud', 'Martin Brok']",
SMS Holdings Corporation,smsholdings.com,,,1988,,,"Nashville, Tennessee, United States",Tennessee,Nashville,,,,"['Service Management Systems, Inc.', 'ServiceWear Apparel', 'FirstLine Transportation Security, Inc.', 'PrimeFlight Aviation Services', 'Block by Block']",,"['Jim Burnett (CDO)', 'Bill Coakley', 'Keith Wolken', 'Hiram Cox']","XLarge (5000-10,000 Employees)"
Rural Metro,,Subsidiary,['Global Medical Response'],1948,,,Arizona,Arizona,,Medium-Large ($50MM-$100MM),['Fire Protection'],"['AARF', 'Emergency Medical Services', 'Fire Protection', 'Wildland Fire Suppression']",,,['Lou Witzeman'],
"East Pennsboro Township, Cumberland County, Pennsylvania",eastpennsboro.net,,,,,,,,,,,,,,,
Republic Airlines,,,,1979,,,"MinneapolisSt Paul Intl Airport, Fort Snelling, Minnesota",Minnesota,Paul,,,,,,,
United Supermarkets,unitedsupermarkets.com,Subsidiary,['Albertsons'],1916,,,"Orlando Avenue, Lubbock, Texas, , United States",Texas,Orlando,,['Retail'],"['Bakery, dairy, deli, frozen foods, general grocery, meat, pharmacy, produce, seafood, snacks, beer and wine']",,,"['Robert Snell', 'Robert C. Taylor, Jr.']","XXLarge (10,000+ Employees)"
Vornado Realty Trust,vno.com,Public company,,1982,VNO,,"New York City, New York, US",New York,New York,XXLarge ($1B+),['Real estate investment trust'],['Office buildings'],,,"['Joseph Macnow', 'Michael J. Franco', 'Steven Roth', 'CIO']","Large (1,000-4,999 Employees)"
AssuredPartners NL,assuredptrnl.com,,,,,,"River Road, Louisville, Kentucky, ",Kentucky,River,,['Insurance'],"['Employee benefits', 'casualty', ' Personal insurance', 'Risk management', 'Property']",,,"['John F. Neace, Joseph T. Lukens']",
The Compleat Sculptor,,,,1995,,,"West  Street, New York, New York, USA",New York,West,,"['Sales of', 'sculpture', 'tools and supplies']",,,,"['Ailene Fields', 'Marc Fields']",
Digital Trends,,,,,,,,,,,,,,,['Digital Trends Media Group'],
Farmers Insurance Group,farmers.com,Private,['Zurich Insurance Group'],1928,,,"Owensmouth Avenue, Woodland Hills, Los Angeles, California, US",California,Avenue,XXLarge ($1B+),['Financial services'],"['Insurance', ' other financial services']","['Foremost Insurance', 'Farmers Insurance', '21st Century Insurance', 'Bristol West Insurance', 'Farmers Life']",,"['John C. Tyler', 'Thomas E. Leavey', 'Raul Vargas']","XXLarge (10,000+ Employees)"
Gojo Industries,gojo.com,Private,,1946,,,"Akron, Ohio, United States",Ohio,Akron,,['Consumer goods'],"['hand sanitizers', 'Foam soap dispensers', 'Cleaning agents']",,,"['Jerry and Goldie Lippman', 'Carey Jaros (  and', 'Marcella Kanfer Rolnick']","Large (1,000-4,999 Employees)"
International Hat Company,,Private,['Interco'],1917,,True,"Texas Avenue, St Louis, United States",Texas,Avenue,,['Hat apparel'],"['baseball caps', 'dress hats', 'earmuffs', 'Military sun helmets', 'Sun hats']","['Marble Hill Hat Company', 'General Fibre Company']","['Venture Products, Inc.', 'International Harvest Hat Company']","['Frank P. Pellegrino', 'Isaac Apple', 'Isaac Apple ( )', ')', 'George Tilles, Jr.', 'Jean S. Goodson ( )', '(  and']","Large (1,000-4,999 Employees)"
Imputor%3F,,,,1999,,,,,,,"['Electronic', 'indie rock', 'IDM']",,,,"['Darrin Wiener', 'Jordan Snodgrass']",
Holtec International,holtecinternational.com,,,1986,,,"Jupiter, Florida, US",Florida,Jupiter,,['Energy'],,,,['Dr. Kris Singh'],
Fox Broadcasting Company,fox.com,Television network,['Fox Entertainment'],1986,,,"Avenue of the Americas, New York City, New York",New York,Avenue,,,,,,"['Fox Corporation', 'Lachlan Murdoch', 'Barry Diller', 'Rupert Murdoch']",
4moms,4moms.com,Private,,2005,,,"Pittsburgh, Pennsylvania, US",Pennsylvania,Pittsburgh,,"['Computer software', 'Robotics', 'Consumer electronics']",,,,"['Robert Daley', 'Henry Thorne']",
Iasis Healthcare,iasishealthcare.com,LLC,,1998,,,"Franklin, TN, United States",Tennessee,Franklin,XXLarge ($1B+),['Health care'],,,,"['TPG Capital', 'W. Carl Whitmer']",Small (10-49 Employees)
Grenade Gloves,,Private,,2001,,,"Portland, Oregon",Oregon,Portland,,['sporting goods'],"['snowboard gloves, outerwear, apparel, motocross gloves']",,,,
Baptist Health (Jacksonville),baptistjax.com,,,1955,,,"Jacksonville, Florida, United States",Florida,Jacksonville,,"['Healthcare', 'Hospital network', 'Nonprofit']","['Oncology', 'Cardiology', 'Health care', 'Neurology', 'Hospital administration', 'Pediatrics', ""Women's Health"", 'Orthopedics', 'Neurosurgery', 'Childbirth']","[""Wolfson Children's Hospital""]",,"['Michael A. Mayo (', 'Southern Baptist Convention']",
Dickinson Theatres,dtmovies.com,Private,,1920,,True,"Overland Park, Kansas",Kansas,Overland Park,,['Entertainment (movie theatres)'],['Dickinson Theatres'],,,"['Glen W Dickinson Sr., Founder', 'Ron Horton']",
Moen Incorporated,moen.com,Subsidiary,['Fortune Brands Innovations'],1956,,,"North Olmsted, Ohio, United States",Ohio,North Olmsted,,['Plumbing'],"['sinks', 'garbage disposals', 'Faucets', ' bath/shower fixtures']",,,"['Troy Shay (president), Zoe\xa0Chiavarini (chairperson)']",
Banner Health,bannerhealth.com,Non-profit organization,,1999,,,"Phoenix Plaza, Phoenix, Arizona, USA",Arizona,Phoenix,XXLarge ($1B+),['Health Care'],"['Health care services, emergency room services, medical group and primary care facilities']",,,"['Peter S. Fine,   &']","XXLarge (10,000+ Employees)"
Price Chopper (supermarket),mypricechopper.com,Family Owned,,,,,"Kansas City, Kansas",Kansas,Kansas City,,"['Retail', 'Grocery']","['bakery, dairy, deli, frozen foods, general grocery, meat and seafood, general merchandise.']",,,"['Ball, Cosentino, McKeever and Queen families (Owners of the Kansas City stores)', 'DGS Foods (Owners of the Des Moines stores)']","XXLarge (10,000+ Employees)"
Firefly Balloons,fireflyballoons.net,Private company,,1972,,,"Statesville, North Carolina, United States",North Carolina,Statesville,,['Aerospace'],['Hot air balloons'],,,['Tracy Barnes (founder)'],
Black Diamond Equipment,blackdiamondequipment.com,Public company,['Clarus Corporation'],1989,CLAR,,"Holladay, Utah, US",Utah,Holladay,,"['Climbing', 'skiing', 'equipment']",,,,['John Walbrecht'],
Dean Foods,deanfoods.com,Public,,1925,,True,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),['Food'],"['juice', 'dairy products', 'Milk']",,,"['Gary W. Rahlfs', 'Samuel E. Dean Sr.']","XXLarge (10,000+ Employees)"
Campbell Ewald,c-e.com,Subsidiary,['Interpublic Group of Companies'],1911,,,"Ford Field, Detroit, Michigan, US, US",Michigan,Ford,,['Marketing Communications'],,,,"['Kevin Wertz,  and', 'Frank Campbell and Henry Ewald']",Medium-Large (500-999 Employees)
Time Life,timelife.com,Private,,1961,,,"Fairfax, Virginia and New York City",Virginia,Fairfax,,,,,,"['Time-Warner', 'ZelnickMedia', 'Ripplewood Holdings L.L.C.', 'Time Inc.', ""Reader's Digest Association"", 'AOL Time Warner', 'Mosaic Media Investment Partners']",Medium-Small (50-199 Employees)
Graham Media Group,grahammedia.com,Subsidiary,['Graham Holdings Company'],1949,,,"Detroit, MI, USA",Michigan,Detroit,,['Broadcast television'],,,"['WTOP Inc.', 'Post Stations', 'Post-Newsweek Stations']","['Catherine Badalamente, president and']",
Plaid Pantry,plaidpantry.com,Privately held company,,1963,,,"Portland, Oregon, USA",Oregon,Portland,Large ($100MM-$200MM),,,,,"['John Piacentini', 'Jonathan Polonsky (  and , Brent Chadwick ()']",
Kontoor Brands,kontoorbrands.com,Public,,,KTB,,"Greensboro, North Carolina",North Carolina,Greensboro,XXLarge ($1B+),['clothing'],"['Wrangler', 'Rock & Republic', 'Lee']",,,['Scott Baxter ('],"XXLarge (10,000+ Employees)"
Sam Ash Music,samash.com,Private,,1924,,,"Hicksville, New York",New York,Hicksville,,['Musical Instruments'],"['equipment and accessories', 'Musical instruments', 'Recording']",,,['Sam Ash'],Medium-Large (500-999 Employees)
Florida Power %26 Light,fpl.com,Subsidiary of NextEra Energy Inc.,,1925,,,"Juno Beach, Florida, United States",Florida,Beach,,['Electric Utilities'],"['distribution', 'Electricity generation', 'transmission', ' and']",,,['Eric Silagy'],"XLarge (5000-10,000 Employees)"
M%26T Bank,mtb.com,Public company,,1856,MTB,,"One MT Plaza, Buffalo, New York, US",New York,Plaza,XXLarge ($1B+),"['Banking', 'Financial services']","['Investment Banking', 'Commercial banking', 'Investment Management', 'Retail banking', 'Private banking']",['Wilmington Trust'],,"['Richard S. Gold', '(  and', '(  and )', '(   )', 'Kevin J. Pearson', 'René F. Jones']","XXLarge (10,000+ Employees)"
Toll Brothers,tollbrothers.com,Public company,,1967,TOL,,"Fort Washington, Pennsylvania, US",Washington,Fort Washington,XXLarge ($1B+),['Home construction'],,,,"['Douglas C. Yearley, Jr.', 'Robert I. Toll', 'Bruce E. Toll']","XLarge (5000-10,000 Employees)"
Oxford Industries,oxfordinc.com,Public,,1942,OXM,,"Atlanta, Georgia, US",Georgia,Atlanta,XXLarge ($1B+),"['Textile', ' Apparel Clothing']","['Duck Head', 'Tommy Bahama', 'Clothing, footwear', 'Johnny Was', 'Lilly Pulitzer', 'The Beaufort Bonnet Company', 'Southern Tide']",,,['Thomas C. Chubb III'],
Cox Communications,cox.com,Subsidiary of Cox Enterprises,['Cox Enterprises'],1962,,,"Peachtree Dunwoody Rd, Atlanta, GA, US",Georgia,Atlanta,XXLarge ($1B+),['Telecommunications'],"['VoIP', 'Business services', 'Home Security', 'Cable television', 'Gigablast fiber', 'wireless', 'broadband internet']",,['Times-Mirror'],"['Mark Greatrex', 'James C. Kennedy', 'Anne Cox Chambers', 'Director']","XXLarge (10,000+ Employees)"
General Mills,generalmills.com,Public,,1866,GIS,,"Golden Valley, Minnesota, US",Minnesota,Golden Valley,XXLarge ($1B+),['Food processing'],"['ice cream', 'products', 'snack foods', ' refrigerated', 'dough', 'flour', 'yogurt', 'pizza', 'soy', 'other food products', 'soup', 'breakfast cereals', 'Baking mixes', 'vegetables']",['Cereal Partners Worldwide'],"['Minneapolis Milling Company', 'Washburn-Crosby Company']","['Jeffrey Harmening', 'John Crosby', 'James Ford Bell', 'Cadwallader C. Washburn', ')\n and']","XXLarge (10,000+ Employees)"
Candy Ass Records,,,,,,,,,,,"['Punk', 'queercore', 'riot grrrl']",,,,['Jody Bleyle'],
Hedgebrook (company),,Public,,2004,HBRK,,"Ashland, Oregon, US",Oregon,Ashland,,['Holding Company'],['Diversified investments'],,,"['Brady Brim-DeForest', 'William C. Patridge']",
Valpak,,Subsidiary,['Platinum Equity'],1968,,,"St Petersburg, Florida, US",Florida,Petersburg,,['Direct marketing'],"['Coupons', 'advertising postcards', 'customer data']",,,,
SonaBLAST! Records,,,,2002,,,,,,,"['indie rock', 'hip hop', 'garage rock', 'dance', 'country', 'blues rock', 'Rock', 'Americana', 'R&B', 'gospel', 'folk', 'alternative', 'rap']",,,,['Gill Holland'],
Columbia River Knife %26 Tool,crkt.com,Privately Owned,,1994,,,"Tualatin, Oregon",Oregon,Tualatin,Medium-Small ($10MM- $50MM),['Manufacturing'],['Knives'],,,"['Founders: Paul Gillespi and Rod Bremer,  /Sales executive: Rod Bremer, Finance  : Peggy Bremer']",Small (10-49 Employees)
Princess Cruises,princess.com,Subsidiary,['Carnival Corporation & plc'],1965,,,"Town Center Drive, Santa Clarita, California",California,Center,XXLarge ($1B+),['Tourism'],['Cruises'],['[]]'],,"['John Padgett', 'Stanley McDonald']","XXLarge (10,000+ Employees)"
Fosters Freeze,fostersfreeze.com,,,1946,,,"Pomona, California, United States",California,Pomona,,['Fast food'],"['Soft serve', 'chicken', 'hamburgers']",,,"['), Nimesh Dahya (Head of global', 'business development', 'Chief marketing officer', '), Sanjay Patel', 'George Foster', 'Neal Dahya']",
Reliant Air,reliantair.com,,,1988,,,"Danbury, Connecticut",Connecticut,Danbury,,,,,,['Wayne R. Toher (Co-Founder &'],
East West Bank,eastwestbank.com,Subsidiary,['East West Bancorp'],1973,,,"Pasadena, California",California,Pasadena,XXLarge ($1B+),['Financial services'],['Banking'],,,"['Irene H. Oh (  and )', 'Chief   Officer', 'Dominic Ng', 'Douglas P. Krause (General Counsel)']","Large (1,000-4,999 Employees)"
Alsco,alsco.com,,,1889,,,"Salt Lake City, Utah, United States",Utah,Salt Lake City,,['Linen and Uniform Rental Services'],,,,"['s', 'Co-', 'Kevin Steiner and Robert Steiner', 'George A. Steiner']","XXLarge (10,000+ Employees)"
"Goodlettsville, Tennessee",goodlettsville.gov,,,,,,,,,,,,,,,
Hachette Filipacchi Media U.S.,,,,1972,,True,,,,,,,,['Hearst Magazines'],,
Wilbur Chocolate Company,wilburbuds.com,Brand,['Cargill'],1865,,,"Lititz, Pennsylvania",Pennsylvania,Lititz,,['Manufacturing'],['Chocolate & Confectionery Ingredients'],,,['Bryan Wurscher'],
Advanced Micro Devices,amd.com,Public,,1969,AMD,,"Santa Clara, California, United States",California,Santa Clara,XXLarge ($1B+),"['Graphics cards', 'Consumer electronics', 'Artificial intelligence', 'Video games', 'Semiconductors', 'Computer hardware', 'GPUs']","['systems-on-chip', 'motherboard', 'chipsets', 'TV accessories', 'drivers', 'Central processing units', 'embedded processors', 'solid-state drives', '(SoCs)', 'microprocessors', 'graphics processing unit', 'network interface controllers']",,['AMD'],"['Mark Papermaster', 'Team led by', '(Chair &', 'John Edward Caldwell', 'Lisa Su', 'Victor Peng', '(Lead Independent Director)', 'Jerry Sanders']","XXLarge (10,000+ Employees)"
Regal Entertainment Group,regmovies.com,Subsidiary,['Cineworld'],1924,,,"Knoxville, Tennessee, US",Tennessee,Knoxville,XXLarge ($1B+),,,"['Cinebarre', 'United Artists Theatres', 'Edwards Theatres']","['(Edwards Theaters)', '(Regal Cinemas)', '1989-08-10', '1930-04-05', 'July\xa030, 1924', '1924-07-30', 'August\xa010, 1989', '(United Artists Theaters)', 'April\xa05, 1930']","['Moshe J. Greidinger', 'Matt Eyre']","XXLarge (10,000+ Employees)"
Cisco Systems,cisco.com,Public,,1984,CSCO,,"San Jose, California, US",California,San Jose,XXLarge ($1B+),"['Networking hardware', 'Networking software']",['List of Cisco products'],,,"['Sandy Lerner', 'Chuck Robbins', 'Leonard Bosack']","XXLarge (10,000+ Employees)"
Envoy Air,envoyair.com,,,1984,,,"Irving, Texas, United States",Texas,Irving,,,,,,"['(American Airlines Group', 'Doug Parker', 'Pedro Fábregas']",
EFileCabinet,efilecabinet.com,Private,,2001,,,"Lehi, Utah",Utah,Lehi,,"['document management software, enterprise content management']","['SecureDrawer Web Portal', 'Enterprise Access', 'eFileCabinet Online 2016', 'eFileCabinet SideKick', 'eFileCabinet On-Premise 2016']",,,['Jesse Wood'],
Stoney River Legendary Steaks,stoneyriver.com,Subsidiary,"[""J. Alexander's""]",2000,,,"Nashville, Tennessee, United States",Tennessee,Nashville,,['Restaurants'],,,,,
General Cable,generalcable.com,Private,['Prysmian Group'],1927,,,"Highland Heights, Kentucky",Kentucky,Highland,XXLarge ($1B+),"['engineering', 'manufacturing', 'Electrical cable']","['Power', 'electronics', 'cables', 'datacom', 'telecommunications', 'fiber optics', ' and']",,,"['(Nonexecutive', 'John E. Welsh, III', 'Michael T. McDonnell']","XLarge (5000-10,000 Employees)"
FEI Company,fei.com,Subsidiary,['Thermo Fisher Scientific'],1971,,,"Hillsboro, Oregon, United States",Oregon,Hillsboro,,['Scientific and Technical Instruments'],"['DualBeam, light microscope, software', 'scanning electron microscope', 'Focused ion beam', 'transmission electron microscope']","['ASPEX Corporation (dba FEI Delmont) (Pennsylvania, United States), Visualization Sciences Group Inc. (dba FEI Houston) (United States) and 26 others.']",,"['Dr. Lynwood Swanson', 'Dr. Don R. Kania', '       and', 'Bradley J. Thies', 'Anthony Trunzo', '    , General Counsel']","Large (1,000-4,999 Employees)"
Air California,,,,,,,"Newport Beach, California, US",California,Newport Beach,,,,,,,
Sirius Satellite Radio,siriusxm.com,Division,['Sirius XM Holdings'],1990,,True,"New York City, United States",New York,New York,,['Radio broadcasting'],['Satellite radio'],,['Sirius XM'],"['Martine Rothblatt', 'Robert Briskman', 'David Margolese']","Large (1,000-4,999 Employees)"
"A21, Inc.",,Public,,,,,"Jacksonville, Florida, USA",Florida,Jacksonville,,['Stock photography'],,,,"['John Ferguson', 'Bruce D. Slywka,       of Sales and Marketing']",
Marsh Supermarkets,marsh.net,Private,,1931,,True,"Indianapolis, Indiana",Indiana,Indianapolis,,['Retail (Grocery)'],['Grocery'],"['Village Pantry', ""O'Malia's Food Markets""]",,"['Ermal Marsh', 'Don Marsh, Former   and', 'JT Grocery Consulting', 'Sun Capital Partners', ""Tom O'Boyle,   and""]","XLarge (5000-10,000 Employees)"
Brookshire Grocery Company,brookshires.com,Private,,1928,,,"W Southwest Loop, Tyler, Texas,  United States",Texas,Southwest,,['Retail (Grocery)'],"['Sunnybrook Farms', 'Dairy Pride', 'Goldenbrook Farms']","[""Brookshire's"", ""Reasor's"", 'Spring Market', 'Super 1 Foods', ""Fresh by Brookshire's""]",,"['Wood T. Brookshire', 'Brad Brookshire,   and Chief   Officer']","XXLarge (10,000+ Employees)"
